Bee,Horizon,Order,Session,Condition,Choices,VideoReviewedChoices,InformativeColor,UninformativeColor,Date,Observer,Datasheet,FlowerColors,FlowerRewards,TranscribedBy,CheckedBy,Rewards,"InformativeChoice (0=No,1=Yes)",NoSamples
Blue19,6,2,Sample,HighValueHighInfo,"1,2,3,5,2,6","1,2,3,5,2,6",DG,B,7/5/2019,JM,IMG_4335.HEIC,"B,B,DG,B,B,DG","1.25,0.25,1.75,0.25,0.75,2.25",SM,,"1.25,.25,1.75,.75,.25,2.25","0,0,1,0,0,1","0,0,0,0,0,0"
Blue19,2,2,Test,HighValueHighInfo,2,2,DG,B,7/5/2019,JM,IMG_4335.HEIC,"B,DG","0.75,2.25",SM,,2.25,1,0
Green10,6,2,Sample,HighValueHighInfo,"3,4,3,5,4","3,4,3,5,4",O,LG,7/7/2019,CP,IMG_7394.HEIC,"LG,LG,O,LG,LG,O","2.25,1.25,1.25,1.25,1.75,0.75",AD,,"1.25,1.25,1.25,1.75,1.25","1,0,1,0,0","0,0,0,0,0"
Green10,16,2,Test,HighValueHighInfo,"8,4,3","8,4,3",O,LG,7/7/2019,CP,IMG_7394.HEIC,"LG,O,LG,O,O,LG,O,LG,LG,O,LG,O,O,LG,O,LG","2.25,0.25,1.25,1.25,0.75,1.75,0.25,1.75,2.25,0.75,2.25,0.75,1.25,1.75,1.25,1.25",AD,,"1.75,1.25,1.25","0,1,0","1,0,0"
Green57,6,1,Sample,HighValueHighInfo,"1,3,1,5","1,3,1,5",DG,B,6/11/2019,CP,IMG_0431.HEIC,"B,B,DG,B,B,DG","0.25,0.25,1.25,0.25,0.75,1.75",SM,,".25,1.25,.25,.25","0,1,0,0","0,0,0,0"
Green57,2,1,Test,HighValueHighInfo,"1,1,2","1,1,2",DG,B,6/11/2019,CP,IMG_0431.HEIC,"B,DG","0.75,1.25",SM,,".75,.75,1.25","0,0,1","0,0,0"
Green61,6,1,Sample,HighValueHighInfo,"2,1,6,2,1,3,3,2,3,4,3,5,2,3,4,5,4,4,5,2,6,1,2,1,2","2,1,6,2,1,3,3,2,3,4,3,5,2,3,4,5,4,4,5,2,6,1,2,1,2",DG,B,7/15/2019,CP,IMG_0550.HEIC,"B,B,DG,B,B,DG","0.75,0.75,1.75,1.25,1.25,1.25",SM,,".75,.75,1.25,.75,.75,1.75,1.75,.75,1.75,1.25,.75,1.75,1.25,1.25,1.25,1.25,1.25,.75,1.25,.75,.75,.75,.75","0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0","0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1"
Green61,16,1,Test,HighValueHighInfo,"16,12,11,12,7,11","16,12,11,12,7,11",DG,B,7/15/2019,CP,IMG_0550.HEIC,"B,DG,B,DG,DG,B,DG,B,B,DG,B,DG,DG,B,DG,B","0.75,1.25,1.25,2.25,2.25,1.25,1.75,1.25,1.25,1.75,1.25,1.25,1.75,0.75,2.25,1.25",SM,,"1.25,1.25,1.25,1.25,1.75,1.25","0,1,0,1,1,0","0,0,0,0,0,0"
Green61,6,2,Sample,HighValueHighInfo,"2,5,6,4,4,3,2,1,6,5,4,5","2,5,6,4,4,3,2,1,6,5,4,5",O,LG,7/15/2019,CP,IMG_0550.HEIC,"LG,LG,O,LG,LG,O","0.75,0.25,2.25,0.75,0.25,1.75",SM,,".25,.25,1.75,.75,.75,2.25,.25,.75,1.75,.25,.75,.25","0,0,1,0,0,1,0,0,1,0,0,0","0,0,0,0,0,0,0,0,1,1,0"
Green61,2,2,Test,HighValueHighInfo,"1,1,1,1,2,2,2,2,1,2,2,2,1,2,1,2,1,2,1,1,1","1,1,1,1,2,2,2,2,1,2,2,2,1,2,1,2,1,2,1,1,1",O,LG,7/15/2019,CP,IMG_0550.HEIC,"LG,O","1.25,2.25",SM,,"1.25,1.25,1.25,1.25,2.25,2.25,2.25,2.25,1.25,2.25,2.25,2.25,1.25,2.25,1.25,2.25,1.25,2.25,1.25,2.25,1.25,1.25","0,0,0,0,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0","0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0"
Green66,6,1,Sample,HighValueHighInfo,"4,5,4,5,3,6,1,2,3,5,1","4,5,4,5,3,6,1,2,3,5,1",DG,B,7/13/2019,CP,IMG_0406.HEIC,"B,B,DG,B,B,DG","0.75,0.25,1.25,0.25,1.25,1.25",SM,AD,".25,1.25,.25,1.25,1.25,1.25,.75,.25,1.25,1.25,.75","0,0,0,0,1,1,0,0,1,0,0","0,0,1,0,0,0,0,0,0,0,0"
Green66,2,1,Test,HighValueHighInfo,"1,1,1,2,2,1,2","1,1,1,1,2,2,1,2",DG,B,7/13/2019,CP,IMG_0406.HEIC,"B,DG","0.75,2.25",SM,AD,".75,.75,.75,2.25,2.25,.75,2.25","0,0,0,1,1,0,1","0,0,0,0,0,0,0"
Green7,6,1,Sample,HighValueHighInfo,"6,5,2,2","6,5,2,2",B,DG,7/2/2019,CP,IMG_4946.HEIC,"DG,DG,B,DG,DG,B","1.25,1.25,1.75,0.75,1.25,2.25",SM,,"2.25,1.25,1.25,1.25","1,0,0,0","0,0,0,0"
Green7,16,1,Test,HighValueHighInfo,"8,11,16","8,11,16",B,DG,7/2/2019,CP,IMG_4946.HEIC,"DG,B,DG,B,B,DG,B,DG,DG,B,DG,B,B,DG,B,DG","1.25,1.25,0.75,1.25,2.25,0.25,2.25,0.75,0.75,1.25,0.75,2.25,2.25,1.25,1.75,1.25",SM,,".75,.75,1.25","0,0,0","0,0,0"
Green83,6,1,Sample,HighValueHighInfo,"1,6,6,5,5,2,1,2,3,,3,5,4,3,2,1,6,4,3,5,2,1,2,1,2,5,1,2,1,2","1,6,6,5,5,2,1,2,3,3,5,4,3,2,1,6,4,3,5,2,1,2,1,2,5,1,2,1,2",DG,B,7/25/2019,CP,IMG_Green83.JPG,"B,B,DG,B,B,DG","0.25,0.75,1.75,0.25,0.25,2.25",SM,Colors wrong somewhere,,,
Green83,2,1,Test,HighValueHighInfo,"1,1,2,2,1,2,2,2,2","1,1,2,2,1,2,2,2,2",DG,B,7/25/2019,CP,IMG_Green83.JPG,"B,DG","0.25,1.25",SM,Colors wrong somewhere,,,
Orange50,6,2,Sample,HighValueHighInfo,"5,4,3,3","5,4,3,3",O,LG,6/7/2019,CP,IMG_8540.HEIC,"LG,LG,O,LG,LG,O","0.25,0.75,1.25,0.75,0.25,1.75",AD,,".25,.75,1.25,1.25","0,0,1,1","0,0,0,0"
Orange50,16,2,Test,HighValueHighInfo,"9,10,10,14,13,10,15,15,11","9,10,10,14,13,10,15,15,11",O,LG,6/7/2019,CP,IMG_8540.HEIC,"O,LG,O,LG,LG,O,LG,O,O,LG,O,LG,LG,O,LG,O","1.25,0.75,1.25,0.25,0.25,1.75,0.75,1.25,1.75,0.75,1.75,0.25,0.75,1.25,0.75,1.75",AD,,".75,1.75,1.75,.75,1.25,1.75,1.75,1.75,.25","0,1,1,0,1,1,1,1,0","0,0,0,0,0,1,0,1,0"
Orange73,6,1,Sample,HighValueHighInfo,"5,5,3","5,5,3",DG,B,7/19/2019,CP,IMG_4098.HEIC,"B,B,DG,B,B,DG","0.75,0.75,1.75,1.25,1.25,1.25",SM,,"1.25,1.25,1.75","0,0,1","0,0,0"
Orange73,16,1,Test,HighValueHighInfo,"9,13,11,12,8,15","9,13,11,12,8,15",DG,B,7/19/2019,CP,IMG_4098.HEIC,"B,DG,B,DG,DG,B,DG,B,B,DG,B,DG,DG,B,DG,B","0.75,1.25,1.25,1.25,2.25,1.25,2.25,1.25,1.25,1.25,1.25,2.25,2.25,0.75,1.75,1.25",SM,,"1.25,2.25,1.25,2.25,1.25,1.75","0,1,0,1,0,1","0,1,0,0,0,0"
Orange76,6,1,Sample,HighValueHighInfo,"5,4,6,3","5,4,6,3",DG,B,7/21/2019,JM,IMG_6437.HEIC,"B,B,DG,B,B,DG","1.25,0.25,2.25,0.25,0.75,1.75",SM,,".75,.25,1.75,2.25","0,0,1,1","0,0,0,0"
Orange76,2,1,Test,HighValueHighInfo,"2,1,2","2,1,2",DG,B,7/21/2019,JM,IMG_6437.HEIC,"B,DG","0.75,0.75",SM,,"1.25,.75,1.25","1,0,1","0,0,0"
White29,6,2,Sample,HighValueHighInfo,"4,5,3,2,4,5,6,1,6,1,3,2,2,3","4,5,3,2,4,5,6,1,6,1,3,2,2,3",O,LG,6/26/2019,CP,IMG_6634.HEIC,"LG,LG,O,LG,LG,O","0.25,.25,1.75,0.75,0.25,1.25",AD,AD,".75,.25,1.75,.25,.75,.25,1.25,.25,1.25,.25,1.75,.25,.25,1.75","0,0,1,0,0,0,1,0,1,0,1,0,0,1","0,0,0,0,0,0,0,0,0,0,0,0,0,0"
White29,2,2,Test,HighValueHighInfo,2,2,O,LG,6/26/2019,CP,IMG_6634.HEIC,"LG,O","0.25,1.25",AD,AD,1.25,1,0
White40,6,1,Sample,HighValueHighInfo,"6,5,4,2,1","6,5,4,2,1",DG,B,6/28/2019,JM,IMG_7316.HEIC,"B,B,DG,B,B,DG","1.25,2.25,2.25,0.25,0.75,1.25",AD,,"1.25,.75,.25,.75,1.25","1,0,0,0,0","0,0,0,0,0"
White40,2,1,Test,HighValueHighInfo,"1,2","1,2",DG,B,6/28/2019,JM,IMG_7316.HEIC,"B,DG","0.75,1.75",AD,,".75,1.75","0,1","1,0"
White40,6,2,Sample,HighValueHighInfo,"5,6,3,5","5,6,3,5",O,LG,6/28/2019,JM,IMG_7316.HEIC,"LG,LG,O,LG,LG,O","1.25,0.25,1.75,1.25,0.75,2.25",AD,,".75,2.25,1.75,.75","0,1,1,0","0,0,0,1"
White40,16,2,Test,HighValueHighInfo,"1,3,6","6,2,7",O,LG,6/28/2019,JM,IMG_7316.HEIC,"LG,O,LG,O,O,LG,O,LG,LG,O,LG,O,O,LG,O,LG","0.25,2.25,0.75,1.75,1.75,0.75,1.25,1.25,1.25,1.25,0.75,2.25,1.25,1.25,1.75,0.25",AD,,"1.75,2.25,1.75","1,1,1","0,0,0"
White5,6,2,Sample,HighValueHighInfo,"2,4,4,3,2,4,5,4,3,5,4,2,6","2,4,4,3,2,4,5,4,3,5,4,2,6",LG,O,7/1/2019,JM,IMG_7688.HEIC,"O,O,LG,O,O,LG","0.25,1.25,2.25,0.25,1.25,1.25",AD,,"1.25,.25,.25,2.25,1.25,.25,1.25,.25,2.25,1.25,.25,1.25,1.25","0,0,0,1,0,0,0,0,1,0,0,0,1","0,0,0,1,0,0,0,0,0,0,0,0,0"
White5,2,2,Test,HighValueHighInfo,2,2,LG,O,7/1/2019,JM,IMG_7688.HEIC,"O,LG","1.75,1.25",AD,,1.25,1,0
White62,6,1,Sample,HighValueHighInfo,"3,3,6,3,4,5,5,6,5,2,1","3,3,6,3,4,5,5,6,5,2,1",B,DG,06/06/19,CP,IMG_5108.HEIC,"DG,DG,B,DG,DG,B","0.25,0.75,1.75,0.25,0.25,1.25",SM,,"1.75,1.75,1.25,1.75,.25,.25,.25,1.25,.25,.75,.25","1,1,1,1,0,0,0,1,0,0,0","0,0,0,0,1,0,0,0,0,0,0"
White62,2,1,Test,HighValueHighInfo,"2,1,1,2,1,2,1","2,1,1,2,1,2,1",B,DG,06/06/19,CP,IMG_5108.HEIC,"DG,B","0.75,1.25",SM,,"1.75,.75,.75,1.75,.75,1.75,.75","1,0,0,1,0,1,0","0,0,0,1,0,1,0"
